Deepsets Large Model 32-Bit QAT Model Prune Iter: 15, Test Accuracy: 0.23020131568518665, Val Accuracy: 0.23047474856710284, Val Loss: 132.03115020925495, Phi Sparsities: (tensor(0.8698, device='cuda:0'), tensor(0.9805, device='cuda:0')), Rho Sparsities: (tensor(0.9531, device='cuda:0'), tensor(0.9785, device='cuda:0'), tensor(0.9580, device='cuda:0'), tensor(0.9812, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 16, Test Accuracy: 0.2, Val Accuracy: 0.2, Val Loss: 87.26861720831216, Phi Sparsities: (tensor(0.8802, device='cuda:0'), tensor(0.9814, device='cuda:0')), Rho Sparsities: (tensor(0.9644, device='cuda:0'), tensor(0.9814, device='cuda:0'), tensor(0.9727, device='cuda:0'), tensor(0.9812, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 17, Test Accuracy: 0.2, Val Accuracy: 0.2, Val Loss: 185.38902466313368, Phi Sparsities: (tensor(0.9323, device='cuda:0'), tensor(0.9844, device='cuda:0')), Rho Sparsities: (tensor(0.9712, device='cuda:0'), tensor(0.9829, device='cuda:0'), tensor(0.9795, device='cuda:0'), tensor(0.9812, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 18, Test Accuracy: 0.2, Val Accuracy: 0.2, Val Loss: 17.75192621694941, Phi Sparsities: (tensor(0.9635, device='cuda:0'), tensor(0.9873, device='cuda:0')), Rho Sparsities: (tensor(0.9771, device='cuda:0'), tensor(0.9844, device='cuda:0'), tensor(0.9844, device='cuda:0'), tensor(0.9844, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 19, Test Accuracy: 0.2, Val Accuracy: 0.2, Val Loss: 33.727066430104834, Phi Sparsities: (tensor(0.9740, device='cuda:0'), tensor(0.9893, device='cuda:0')), Rho Sparsities: (tensor(0.9810, device='cuda:0'), tensor(0.9883, device='cuda:0'), tensor(0.9873, device='cuda:0'), tensor(0.9875, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 0, Test Accuracy: 0.6612269160656258, Val Accuracy: 0.6644932660072705, Val Loss: 0.8820313831575873, Phi Sparsities: (tensor(0., device='cuda:0'), tensor(0., device='cuda:0')), Rho Sparsities: (tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 1, Test Accuracy: 0.6628873741776967, Val Accuracy: 0.6670604187636738, Val Loss: 0.8757181540638411, Phi Sparsities: (tensor(0.1198, device='cuda:0'), tensor(0.2344, device='cuda:0')), Rho Sparsities: (tensor(0.1396, device='cuda:0'), tensor(0.2749, device='cuda:0'), tensor(0.1465, device='cuda:0'), tensor(0.2156, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 2, Test Accuracy: 0.6626337481176191, Val Accuracy: 0.6673665471545865, Val Loss: 0.8747277105746626, Phi Sparsities: (tensor(0.1875, device='cuda:0'), tensor(0.4121, device='cuda:0')), Rho Sparsities: (tensor(0.2910, device='cuda:0'), tensor(0.4482, device='cuda:0'), tensor(0.2998, device='cuda:0'), tensor(0.3656, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 3, Test Accuracy: 0.6628041531267338, Val Accuracy: 0.666221893171174, Val Loss: 0.8764528384824999, Phi Sparsities: (tensor(0.2552, device='cuda:0'), tensor(0.5576, device='cuda:0')), Rho Sparsities: (tensor(0.4194, device='cuda:0'), tensor(0.5825, device='cuda:0'), tensor(0.4072, device='cuda:0'), tensor(0.4969, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 4, Test Accuracy: 0.6604501862566379, Val Accuracy: 0.6636780327923402, Val Loss: 0.8829619653370916, Phi Sparsities: (tensor(0.3021, device='cuda:0'), tensor(0.6582, device='cuda:0')), Rho Sparsities: (tensor(0.5361, device='cuda:0'), tensor(0.6816, device='cuda:0'), tensor(0.5059, device='cuda:0'), tensor(0.5813, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 5, Test Accuracy: 0.6587104700007926, Val Accuracy: 0.6614935405245777, Val Loss: 0.889136701619544, Phi Sparsities: (tensor(0.3438, device='cuda:0'), tensor(0.7422, device='cuda:0')), Rho Sparsities: (tensor(0.6299, device='cuda:0'), tensor(0.7529, device='cuda:0'), tensor(0.5898, device='cuda:0'), tensor(0.6656, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 6, Test Accuracy: 0.6554093683125941, Val Accuracy: 0.6580762159868897, Val Loss: 0.8978043814905646, Phi Sparsities: (tensor(0.4062, device='cuda:0'), tensor(0.8096, device='cuda:0')), Rho Sparsities: (tensor(0.6982, device='cuda:0'), tensor(0.8057, device='cuda:0'), tensor(0.6748, device='cuda:0'), tensor(0.7281, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 7, Test Accuracy: 0.6503883649044939, Val Accuracy: 0.6529568841453777, Val Loss: 0.9097007788768431, Phi Sparsities: (tensor(0.4583, device='cuda:0'), tensor(0.8545, device='cuda:0')), Rho Sparsities: (tensor(0.7651, device='cuda:0'), tensor(0.8462, device='cuda:0'), tensor(0.7314, device='cuda:0'), tensor(0.7750, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 8, Test Accuracy: 0.6458032812871523, Val Accuracy: 0.6481935929324272, Val Loss: 0.922991696669131, Phi Sparsities: (tensor(0.5365, device='cuda:0'), tensor(0.8916, device='cuda:0')), Rho Sparsities: (tensor(0.8140, device='cuda:0'), tensor(0.8750, device='cuda:0'), tensor(0.7822, device='cuda:0'), tensor(0.8219, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 9, Test Accuracy: 0.6419711500356662, Val Accuracy: 0.6433221585379042, Val Loss: 0.9348318884972813, Phi Sparsities: (tensor(0.5833, device='cuda:0'), tensor(0.9180, device='cuda:0')), Rho Sparsities: (tensor(0.8599, device='cuda:0'), tensor(0.8994, device='cuda:0'), tensor(0.8125, device='cuda:0'), tensor(0.8594, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 10, Test Accuracy: 0.6357256083062535, Val Accuracy: 0.6376521283410004, Val Loss: 0.9494043552145666, Phi Sparsities: (tensor(0.6198, device='cuda:0'), tensor(0.9346, device='cuda:0')), Rho Sparsities: (tensor(0.8877, device='cuda:0'), tensor(0.9277, device='cuda:0'), tensor(0.8398, device='cuda:0'), tensor(0.8969, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 11, Test Accuracy: 0.6275184275184276, Val Accuracy: 0.6293051384648659, Val Loss: 0.9730228530306394, Phi Sparsities: (tensor(0.6719, device='cuda:0'), tensor(0.9434, device='cuda:0')), Rho Sparsities: (tensor(0.9092, device='cuda:0'), tensor(0.9429, device='cuda:0'), tensor(0.8799, device='cuda:0'), tensor(0.9219, device='cuda:0'))
Deepsets Large Model 16-Bit QAT Model Prune Iter: 12, Test Accuracy: 0.6186692557660299, Val Accuracy: 0.6195240036269559, Val Loss: 0.9996902999423799, Phi Sparsities: (tensor(0.7188, device='cuda:0'), tensor(0.9541, device='cuda:0')), Rho Sparsities: (tensor(0.9204, device='cuda:0'), tensor(0.9585, device='cuda:0'), tensor(0.9102, device='cuda:0'), tensor(0.9469, device='cuda:0'))
